,Unnamed: 0,Tree ID,Species,Latitude,Longitude,Year
12877,41807,30066,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12878,41808,30061,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12899,41860,85688,Acer buergeranum :: Trident Maple,37.7811325632525,-122.396232748844,2007
12901,41869,28547,Washingtonia robusta :: Mexican Fan Palm,37.7169402093066,-122.44053823097799,2003
12942,42066,1720,Platanus x hispanica :: Sycamore: London Plane,37.8064867247361,-122.407230131732,2006
12943,42069,1732,Platanus x hispanica :: Sycamore: London Plane,37.8064867247361,-122.407230131732,2006
12944,42071,1719,Platanus x hispanica :: Sycamore: London Plane,37.8064867247361,-122.407230131732,2006
12945,42074,1735,Platanus x hispanica :: Sycamore: London Plane,37.8064867247361,-122.407230131732,2006
12946,42078,1721,Platanus x hispanica :: Sycamore: London Plane,37.8064867247361,-122.407230131732,2006
12948,42080,1733,Platanus x hispanica :: Sycamore: London Plane,37.8064867247361,-122.407230131732,2006
12975,42243,49638,Ginkgo biloba :: Maidenhair Tree,37.7739931271161,-122.41035873800502,2003
12980,42258,51363,Crataegus phaenopyrum :: Washington Hawthorn,37.7320944574823,-122.393438970749,2004
12981,42259,51369,Crataegus phaenopyrum :: Washington Hawthorn,37.7324395857978,-122.39335889598999,2005
12984,42262,51356,Crataegus phaenopyrum :: Washington Hawthorn,37.732521344076204,-122.393341524701,2005
12985,42263,51365,Celtis sinensis :: Chinese Hackberry,37.7322472522973,-122.39340338185801,2005
12992,42270,51364,Crataegus phaenopyrum :: Washington Hawthorn,37.732197660973505,-122.393416939157,2004
12994,42272,51366,Crataegus phaenopyrum :: Washington Hawthorn,37.73235983751729,-122.39337838521601,2005
12995,42273,51360,Crataegus laevigata :: English Hawthorn,37.7317044268964,-122.39352878961999,2004
12996,42274,51368,Celtis sinensis :: Chinese Hackberry,37.7324811353964,-122.393349998121,2005
12999,42277,51362,Metrosideros excelsa :: New Zealand Xmas Tree,37.7319905830836,-122.393456764727,2004
13002,42280,51359,Crataegus laevigata :: English Hawthorn,37.73166388187129,-122.393534297068,2004
13005,42283,51357,Quercus agrifolia :: Coast Live Oak,37.732150750552,-122.393427531355,2004
13006,42284,51358,Crataegus laevigata :: English Hawthorn,37.7316300385939,-122.393541499766,2004
13009,42287,51361,Prunus x yedoensis :: Yoshino Cherry,37.7318113167403,-122.39350548730499,2004
13034,42315,81630,Lagunaria patersonii :: Primrose Tree,37.7279882186648,-122.44226048643,2005
13047,42402,50093,Magnolia grandiflora :: Southern Magnolia,37.7427591532642,-122.46493323097602,2003
13049,42407,52851,Acer rubrum :: Red Maple,37.785961819236604,-122.39417161065799,2006
13050,42410,52848,Cupressus sempervirens :: Italian Cypress,37.7860546845502,-122.394100496655,2006
13051,42411,52852,Acer rubrum :: Red Maple,37.7860436350529,-122.394065071555,2006
13052,42412,52850,Acer rubrum :: Red Maple,37.7859038336441,-122.39423995641701,2006
13053,42413,52842,Acer rubrum :: Red Maple,37.786129421386796,-122.393954511599,2006
13054,42415,52844,Acer rubrum :: Red Maple,37.785997563678706,-122.39412537650401,2006
13055,42416,52849,Cupressus sempervirens :: Italian Cypress,37.7860546845502,-122.394100496655,2006
13098,42652,41872,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7685217576009,-122.430254098064,2004
13102,42678,49556,Prunus serrulata :: Ornamental Cherry,37.727136046271895,-122.44418650420499,2003
13111,42721,29119,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7845455839642,-122.414717657915,2005
13120,42744,28545,Washingtonia robusta :: Mexican Fan Palm,37.7168867757364,-122.44083661746299,2003
13121,42747,28548,Washingtonia robusta :: Mexican Fan Palm,37.7174032930481,-122.440188283496,2003
13129,42770,16924,Podocarpus macrophyllus :: Yew Pine,37.774415694158,-122.42805938013399,2005
13161,42838,52140,Magnolia grandiflora :: Southern Magnolia,37.7632554537584,-122.448178411308,2005
13176,42873,85278,Magnolia doltsopa :: Himalayan Magnolia,37.77444030054121,-122.42767673141701,2007
13193,42919,28544,Washingtonia robusta :: Mexican Fan Palm,37.7174162891529,-122.440417567822,2003
13212,42991,15823,Washingtonia robusta :: Mexican Fan Palm,37.717801221251,-122.439882133799,2003
13216,42995,28543,Washingtonia robusta :: Mexican Fan Palm,37.717490698541106,-122.44037313550601,2003
13218,42997,26976,Lagunaria patersonii :: Primrose Tree,37.7285652398765,-122.42624684333201,2007
13220,43006,52754,Magnolia grandiflora :: Southern Magnolia,37.7570824769765,-122.432565506947,2006
13222,43012,10063,Tristaniopsis laurina :: Swamp Myrtle,37.7629907536385,-122.42405871635799,2006
13253,43112,28542,Washingtonia robusta :: Mexican Fan Palm,37.7178909833984,-122.44006317666401,2003
